PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA EXHIBIDA EN SALAS DE CINE,PROPAGANDA UTILITARIA,TOTAL GASTOS
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 2-ACALA,PRESIDENTE MUNICIPAL,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,MARIA FERNANDA ANDRADE COELLO,04/05/2021,02/06/2021,30/04/2021 11:50:30 p.m.,ACTIVO,,348002.35,,11.69,,27.12,,,,,,38.81
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 77-SAN CRISTOBAL DE LAS CASAS,PRESIDENTE MUNICIPAL,COA,VA POR CHIAPAS,PAN-PRI-PRD,MIGUEL ANGEL MORALES ZUÑIGA,04/05/2021,02/06/2021,30/04/2021 11:21:03 p.m.,ACTIVO,,2820185.34,,4250,,,,,,,72724.97,76974.97
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 26-CHENALHO,PRESIDENTE MUNICIPAL,C,PARTIDO CHIAPAS UNIDO,PARTIDO CHIAPAS UNIDO,MANUELA ARIAS GUZMAN,04/05/2021,02/06/2021,30/04/2021 05:48:01 p.m.,ACTIVO,,737173.22,,600,,,,,,,,600
PRELO-CAM-20/21,LOCAL,MICHOACAN,Municipio 85-TANGAMANDAPIO,PRESIDENTE MUNICIPAL,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,PAULO DANIEL GARCIA MANZO,19/04/2021,02/06/2021,30/04/2021 03:35:09 p.m.,ACTIVO,,267335.98,,,,,,,,,1205.74,1205.74
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 21-COPAINALA,PRESIDENTE MUNICIPAL,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,IVANA ARAUJO CUEVAS,04/05/2021,02/06/2021,30/04/2021 11:50:30 p.m.,ACTIVO,,373637.33,,8155.67,,29.13,,,,,,8184.8
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 21-COPAINALA,PRESIDENTE MUNICIPAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,MARIA DEL REFUGIO OCHOA RECINOS,04/05/2021,02/06/2021,30/04/2021 05:22:56 p.m.,ACTIVO,,373637.33,,73.39,,,,,640.73,,,714.12
PRELO-CAM-20/21,LOCAL,CHIAPAS,Distrito 14-CINTALAPA,DIPUTADO LOCAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,OLGA LETICIA HERNANDEZ DIAZ,04/05/2021,02/06/2021,30/04/2021 11:52:59 p.m.,ACTIVO,,4992049.75,,167.97,,389.54,,,,,,557.51
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 65-PALENQUE,PRESIDENTE MUNICIPAL,C,PARTIDO CHIAPAS UNIDO,PARTIDO CHIAPAS UNIDO,FRANCISCO III ALVAREZ SANEN,04/05/2021,02/06/2021,30/04/2021 05:48:01 p.m.,ACTIVO,,2287147.17,,21434.85,,1900,,,,,,23334.85
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 41-LA INDEPENDENCIA,PRESIDENTE MUNICIPAL,C,PARTIDO CHIAPAS UNIDO,PARTIDO CHIAPAS UNIDO,URI MAGDIEL ESPINOZA HERNANDEZ,04/05/2021,02/06/2021,30/04/2021 05:48:01 p.m.,ACTIVO,,821752.47,,2000,,,,,,,,2000
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 106-VENUSTIANO CARRANZA,PRESIDENTE MUNICIPAL,COA,VA POR CHIAPAS,PAN-PRI-PRD,ISAIAS MONTES DE OCA RODRIGUEZ,04/05/2021,02/06/2021,30/04/2021 11:21:03 p.m.,ACTIVO,,1195570.2,,2666.66,,14024.4,,,,,25975.18,42666.24
PRELO-CAM-20/21,LOCAL,CHIAPAS,Distrito 16-HUIXTLA,DIPUTADO LOCAL MR,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,RAQUEL ESPINOSA SALAS,04/05/2021,02/06/2021,30/04/2021 09:58:18 p.m.,ACTIVO,,3440077.8,,10446,,65888.46,,,,,74475.11,150809.57
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 20-LA CONCORDIA,PRESIDENTE MUNICIPAL,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,CECILIA ROBLERO GONZALEZ,04/05/2021,02/06/2021,30/04/2021 11:50:30 p.m.,ACTIVO,,979225,,32.93,,76.36,,,,,,109.29
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 111-ZINACANTAN,PRESIDENTE MUNICIPAL,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,JUANA VAZQUEZ LOPEZ,04/05/2021,02/06/2021,30/04/2021 07:54:09 p.m.,ACTIVO,,695103.19,,,,13309.95,,,,,15048.46,28358.41
PRELO-CAM-20/21,LOCAL,MICHOACAN,Municipio 48-JUNGAPEO,PRESIDENTE MUNICIPAL,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,ANA PATRICIA GARCIA GUIDO,19/04/2021,02/06/2021,30/04/2021 03:35:09 p.m.,ACTIVO,,234666.83,,651.76,20.33,123.34,,,13.63,,15751.97,16561.03
PRELO-CAM-20/21,LOCAL,MICHOACAN,Municipio 33-GABRIEL ZAMORA,PRESIDENTE MUNICIPAL,CC,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,MAYRA RODRIGUEZ RIVERA,19/04/2021,02/06/2021,30/04/2021 03:52:34 p.m.,ACTIVO,,243685.57,,8100,16.33,,,,,,2000,10116.33
PRELO-CAM-20/21,LOCAL,TABASCO,Distrito 13-COMALCALCO,DIPUTADO LOCAL MR,C,FUERZA POR MÉXICO,FS X MÉXICO,NORA ROBLES PEREZ,19/04/2021,02/06/2021,01/05/2021 02:39:30 a.m.,ACTIVO,,437663.79,,,,2676.62,,,,,6317.53,8994.15
PRELO-CAM-20/21,LOCAL,TABASCO,Municipio 16-TEAPA,PRESIDENTE MUNICIPAL,C,FUERZA POR MÉXICO,FS X MÉXICO,MARIA DEL CARMEN LOPEZ RIVERA,19/04/2021,02/06/2021,01/05/2021 02:42:37 a.m.,ACTIVO,,182832.76,,,,1118.14,,,,,2639.09,3757.23
PRELO-CAM-20/21,LOCAL,TABASCO,Distrito 15-EMILIANO ZAPATA,DIPUTADO LOCAL MR,C,FUERZA POR MÉXICO,FS X MÉXICO,OSVALDO BALDEMAR HERNANDEZ DE LA CRUZ,19/04/2021,02/06/2021,01/05/2021 02:39:30 a.m.,ACTIVO,,342168.13,,,,2092.6,,,,,4939.07,7031.67
